path,start_off,end_off,lfh_size,compressed_size,uncompressed_size,compression,file_id,subject,modality,stimulus,repetition
sub052/2drt/raw/sub052_2drt_08_grandfather2_r1_raw.h5,24964633724,25039797577,119,75163735,163486568,8,26378810,sub052,2drt,08_grandfather2,1
sub052/2drt/raw/sub052_2drt_09_northwind1_r1_raw.h5,25039797578,25095972515,117,56174821,122110328,8,26378810,sub052,2drt,09_northwind1,1
sub052/2drt/raw/sub052_2drt_10_northwind2_r1_raw.h5,25095972516,25182087064,117,86114432,187319428,8,26378810,sub052,2drt,10_northwind2,1
sub052/2drt/raw/sub052_2drt_11_postures_r1_raw.h5,25182087065,25290094490,115,108007311,234884356,8,26378810,sub052,2drt,11_postures,1
sub052/2drt/raw/sub052_2drt_01_vcv1_r2_raw.h5,25290094491,25388832344,111,98737743,214823088,8,26378810,sub052,2drt,01_vcv1,2
sub052/2drt/raw/sub052_2drt_02_vcv2_r2_raw.h5,25388832345,25487053237,111,98220782,213760488,8,26378810,sub052,2drt,02_vcv2,2
sub052/2drt/raw/sub052_2drt_03_vcv3_r2_raw.h5,25487053238,25588124359,111,101071011,219995380,8,26378810,sub052,2drt,03_vcv3,2
sub052/2drt/raw/sub052_2drt_04_bvt_r2_raw.h5,25588124360,25662905606,110,74781137,162759972,8,26378810,sub052,2drt,04_bvt,2
sub052/2drt/raw/sub052_2drt_05_shibboleth_r2_raw.h5,25662905607,25734057406,117,71151683,154737980,8,26378810,sub052,2drt,05_shibboleth,2
sub052/2drt/raw/sub052_2drt_06_rainbow_r2_raw.h5,25734057407,25837682768,114,103625248,225457472,8,26378810,sub052,2drt,06_rainbow,2
sub052/2drt/raw/sub052_2drt_07_grandfather1_r2_raw.h5,25837682769,25929570077,119,91887190,199743008,8,26378810,sub052,2drt,07_grandfather1,2
sub052/2drt/raw/sub052_2drt_08_grandfather2_r2_raw.h5,25929570078,26008103351,119,78533155,170735760,8,26378810,sub052,2drt,08_grandfather2,2
sub052/2drt/raw/sub052_2drt_09_northwind1_r2_raw.h5,26008103352,26062282654,117,54179186,117759136,8,26378810,sub052,2drt,09_northwind1,2
sub052/2drt/raw/sub052_2drt_10_northwind2_r2_raw.h5,26062282655,26143510258,117,81227487,176584252,8,26378810,sub052,2drt,10_northwind2,2
sub052/2drt/raw/sub052_2drt_11_postures_r2_raw.h5,26143510259,26240451475,115,96941102,210763792,8,26378810,sub052,2drt,11_postures,2
sub052/2drt/raw/sub052_2drt_12_picture1_raw.h5,26240451476,26369529639,112,129078052,280802892,8,26378810,sub052,2drt,12_picture1,
sub052/2drt/raw/sub052_2drt_13_picture2_raw.h5,26369529640,26493359107,112,123829356,269347408,8,26378810,sub052,2drt,13_picture2,
sub052/2drt/raw/sub052_2drt_14_picture3_raw.h5,26493359108,26618341207,112,124981988,271667904,8,26378810,sub052,2drt,14_picture3,
sub052/2drt/raw/sub052_2drt_15_picture4_raw.h5,26618341208,26745748338,112,127407019,276936796,8,26378810,sub052,2drt,15_picture4,
sub052/2drt/raw/sub052_2drt_16_picture5_raw.h5,26745748339,26875561919,112,129813469,282205688,8,26378810,sub052,2drt,16_picture5,
sub052/2drt/raw/sub052_2drt_17_topic1_raw.h5,26875561920,26995680920,110,120118891,261178420,8,26378810,sub052,2drt,17_topic1,
sub052/2drt/raw/sub052_2drt_18_topic2_raw.h5,26995680921,27115731833,110,120050803,261033520,8,26378810,sub052,2drt,18_topic2,
sub052/2drt/raw/sub052_2drt_19_topic3_raw.h5,27115731834,27236641570,110,120909627,262919316,8,26378810,sub052,2drt,19_topic3,
sub052/2drt/raw/sub052_2drt_20_topic4_raw.h5,27236641571,27356969338,110,120327658,261613120,8,26378810,sub052,2drt,20_topic4,
sub052/2drt/raw/sub052_2drt_21_topic5_raw.h5,27356969339,27476952107,110,119982659,260840320,8,26378810,sub052,2drt,21_topic5,
sub013/2drt/raw/sub013_2drt_01_vcv1_r1_raw.h5,30904950234,31198443775,111,293493431,313285644,8,26378810,sub013,2drt,01_vcv1,1
sub013/2drt/raw/sub013_2drt_02_vcv2_r1_raw.h5,31198443776,31472189063,111,273745177,292210076,8,26378810,sub013,2drt,02_vcv2,1
sub013/2drt/raw/sub013_2drt_03_vcv3_r1_raw.h5,31472189064,31745761255,111,273572081,292016876,8,26378810,sub013,2drt,03_vcv3,1
sub013/2drt/raw/sub013_2drt_04_bvt_r1_raw.h5,31745761256,31970246415,110,224485050,239619852,8,26378810,sub013,2drt,04_bvt,1
sub013/2drt/raw/sub013_2drt_05_shibboleth_r1_raw.h5,31970246416,32162926028,117,192679496,205688100,8,26378810,sub013,2drt,05_shibboleth,1
sub013/2drt/raw/sub013_2drt_06_rainbow_r1_raw.h5,32162926029,32418895935,114,255969793,273263900,8,26378810,sub013,2drt,06_rainbow,1
sub013/2drt/raw/sub013_2drt_07_grandfather1_r1_raw.h5,32418895936,32621077778,119,202181724,215839484,8,26378810,sub013,2drt,07_grandfather1,1
sub013/2drt/raw/sub013_2drt_08_grandfather2_r1_raw.h5,32621077779,32799217424,119,178139527,190171224,8,26378810,sub013,2drt,08_grandfather2,1
sub013/2drt/raw/sub013_2drt_09_northwind1_r1_raw.h5,32799217425,32935336223,117,136118682,145311096,8,26378810,sub013,2drt,09_northwind1,1
sub013/2drt/raw/sub013_2drt_10_northwind2_r1_raw.h5,32935336224,33120671048,117,185334708,197857212,8,26378810,sub013,2drt,10_northwind2,1
sub013/2drt/raw/sub013_2drt_11_postures_r1_raw.h5,33120671049,33344852269,115,224181106,239330052,8,26378810,sub013,2drt,11_postures,1
sub013/2drt/raw/sub013_2drt_01_vcv1_r2_raw.h5,33344852270,33618031449,111,273179069,291630476,8,26378810,sub013,2drt,01_vcv1,2
sub013/2drt/raw/sub013_2drt_02_vcv2_r2_raw.h5,33618031450,33920385518,111,302353958,322760828,8,26378810,sub013,2drt,02_vcv2,2
sub013/2drt/raw/sub013_2drt_03_vcv3_r2_raw.h5,33920385519,34214234041,111,293848412,313720344,8,26378810,sub013,2drt,03_vcv3,2
sub013/2drt/raw/sub013_2drt_04_bvt_r2_raw.h5,34214234042,34425369645,110,211135494,225409172,8,26378810,sub013,2drt,04_bvt,2
sub013/2drt/raw/sub013_2drt_05_shibboleth_r2_raw.h5,34425369646,34617538609,117,192168847,205156800,8,26378810,sub013,2drt,05_shibboleth,2
sub013/2drt/raw/sub013_2drt_06_rainbow_r2_raw.h5,34617538610,34887851691,114,270312968,288585480,8,26378810,sub013,2drt,06_rainbow,2
sub013/2drt/raw/sub013_2drt_07_grandfather1_r2_raw.h5,34887851692,35112327211,119,224475401,239668152,8,26378810,sub013,2drt,07_grandfather1,2
sub013/2drt/raw/sub013_2drt_08_grandfather2_r2_raw.h5,35112327212,35295476953,119,183149623,195536716,8,26378810,sub013,2drt,08_grandfather2,2
sub013/2drt/raw/sub013_2drt_09_northwind1_r2_raw.h5,35295476954,35436561279,117,141084209,150628288,8,26378810,sub013,2drt,09_northwind1,2
sub013/2drt/raw/sub013_2drt_10_northwind2_r2_raw.h5,35436561280,35629393014,117,192831618,205881300,8,26378810,sub013,2drt,10_northwind2,2
sub013/2drt/raw/sub013_2drt_11_postures_r2_raw.h5,35629393015,35893142983,115,263749854,281577788,8,26378810,sub013,2drt,11_postures,2
sub013/2drt/raw/sub013_2drt_12_picture1_raw.h5,35893142984,36139397281,112,246254186,262919316,8,26378810,sub013,2drt,12_picture1,
sub013/2drt/raw/sub013_2drt_13_picture2_raw.h5,36139397282,36385520325,112,246122932,262774416,8,26378810,sub013,2drt,13_picture2,
sub013/2drt/raw/sub013_2drt_14_picture3_raw.h5,36385520326,36631412020,112,245891583,262532916,8,26378810,sub013,2drt,14_picture3,
sub013/2drt/raw/sub013_2drt_15_picture4_raw.h5,36631412021,36877947447,112,246535315,263209116,8,26378810,sub013,2drt,15_picture4,
sub013/2drt/raw/sub013_2drt_16_picture5_raw.h5,36877947448,37089415129,112,211467570,225795572,8,26378810,sub013,2drt,16_picture5,
sub013/2drt/raw/sub013_2drt_17_topic1_raw.h5,37089415130,37332391600,110,242976361,259439620,8,26378810,sub013,2drt,17_topic1,
sub013/2drt/raw/sub013_2drt_18_topic2_raw.h5,37332391601,37576366746,110,243975036,260502220,8,26378810,sub013,2drt,18_topic2,
sub013/2drt/raw/sub013_2drt_19_topic3_raw.h5,37576366747,37822788296,110,246421440,263112516,8,26378810,sub013,2drt,19_topic3,
sub013/2drt/raw/sub013_2drt_20_topic4_raw.h5,37822788297,38067436240,110,244647834,261226720,8,26378810,sub013,2drt,20_topic4,
sub013/2drt/raw/sub013_2drt_21_topic5_raw.h5,38067436241,38312376736,110,244940386,261516520,8,26378810,sub013,2drt,21_topic5,
sub012/2drt/raw/sub012_2drt_01_vcv1_r1_raw.h5,42063916551,42334261923,111,270345262,288343980,8,26378810,sub012,2drt,01_vcv1,1
sub012/2drt/raw/sub012_2drt_02_vcv2_r1_raw.h5,42334261924,42575726981,111,241464947,257553824,8,26378810,sub012,2drt,02_vcv2,1
sub012/2drt/raw/sub012_2drt_03_vcv3_r1_raw.h5,42575726982,42852230441,111,276503349,294916972,8,26378810,sub012,2drt,03_vcv3,1
sub012/2drt/raw/sub012_2drt_04_bvt_r1_raw.h5,42852230442,43096277284,110,244046733,260309020,8,26378810,sub012,2drt,04_bvt,1
sub012/2drt/raw/sub012_2drt_05_shibboleth_r1_raw.h5,43096277285,43288067817,117,191790416,204577200,8,26378810,sub012,2drt,05_shibboleth,1
sub012/2drt/raw/sub012_2drt_06_rainbow_r1_raw.h5,43288067818,43574663604,114,286595673,305696256,8,26378810,sub012,2drt,06_rainbow,1
sub012/2drt/raw/sub012_2drt_07_grandfather1_r1_raw.h5,43574663605,43779415117,119,204751394,218401480,8,26378810,sub012,2drt,07_grandfather1,1
sub012/2drt/raw/sub012_2drt_08_grandfather2_r1_raw.h5,43779415118,43967082963,119,187667727,200177708,8,26378810,sub012,2drt,08_grandfather2,1
sub012/2drt/raw/sub012_2drt_09_northwind1_r1_raw.h5,43967082964,44100687759,117,133604679,142507600,8,26378810,sub012,2drt,09_northwind1,1
sub012/2drt/raw/sub012_2drt_10_northwind2_r1_raw.h5,44100687760,44289896868,117,189208992,201822004,8,26378810,sub012,2drt,10_northwind2,1
sub012/2drt/raw/sub012_2drt_11_postures_r1_raw.h5,44289896869,44555008493,115,265111510,282785288,8,26378810,sub012,2drt,11_postures,1
sub012/2drt/raw/sub012_2drt_01_vcv1_r2_raw.h5,44555008494,44844858103,111,289849499,309178048,8,26378810,sub012,2drt,01_vcv1,2
sub012/2drt/raw/sub012_2drt_02_vcv2_r2_raw.h5,44844858104,45125483980,111,280625766,299316464,8,26378810,sub012,2drt,02_vcv2,2
sub012/2drt/raw/sub012_2drt_03_vcv3_r2_raw.h5,45125483981,45406976282,111,281492191,300234164,8,26378810,sub012,2drt,03_vcv3,2
